pc_id,state,constituency_name,total_requests,approved,rejected,pending,objections_raised,objections_resolved,objections_pending,freeze_period_pending,avg_processing_time_days,officers_assigned,cases_per_officer,data_origin,anchor_level
PC033,Gujarat,Ahmedabad East,50950,39402,2696,8852,3406,2200,1206,5863,32.9,4,12737.5,synthetic,ECI_aggregate_estimate
PC034,Gujarat,Ahmedabad West,27801,23151,1123,3527,769,705,64,1076,41.4,12,2316.8,synthetic,ECI_aggregate_estimate
PC035,Gujarat,Surat,18828,15798,2082,948,1214,869,345,424,76.7,10,1882.8,synthetic,ECI_aggregate_estimate
PC036,Gujarat,Vadodara,39518,34809,2796,1913,2601,1863,738,1058,68.1,8,4939.8,synthetic,ECI_aggregate_estimate
PC037,Rajasthan,Jaipur,48736,43468,4531,737,3157,2632,525,223,48.6,10,4873.6,synthetic,ECI_aggregate_estimate
PC038,Rajasthan,Jaipur Rural,30369,27691,3638,0,498,338,160,0,56.2,10,3036.9,synthetic,ECI_aggregate_estimate
PC039,Rajasthan,Jodhpur,50700,42829,3646,4225,2769,2558,211,1629,67.6,10,5070.0,synthetic,ECI_aggregate_estimate
PC040,Rajasthan,Udaipur,41147,37137,2542,1468,2376,2199,177,739,47.7,12,3428.9,synthetic,ECI_aggregate_estimate
PC041,Uttar Pradesh,Lucknow,45123,40791,5018,0,1633,989,644,0,32.3,3,15041.0,synthetic,ECI_aggregate_estimate
PC042,Uttar Pradesh,Kanpur,11904,9157,892,1855,917,589,328,650,67.5,7,1700.6,synthetic,ECI_aggregate_estimate
PC043,Uttar Pradesh,Varanasi,11874,9796,451,1627,753,494,259,1035,38.5,5,2374.8,synthetic,ECI_aggregate_estimate
PC044,Uttar Pradesh,Allahabad,12448,10055,589,1804,918,611,307,1255,58.8,3,4149.3,synthetic,ECI_aggregate_estimate
PC045,Uttar Pradesh,Agra,16330,14839,1486,5,918,696,222,1,65.5,12,1360.8,synthetic,ECI_aggregate_estimate
PC046,Uttar Pradesh,Meerut,13816,12122,1551,143,1001,750,251,77,58.5,10,1381.6,synthetic,ECI_aggregate_estimate
PC047,Uttar Pradesh,Ghaziabad,50984,45265,3653,2066,2252,1394,858,1331,74.2,6,8497.3,synthetic,ECI_aggregate_estimate
PC048,Uttar Pradesh,Noida,23056,18392,2414,2250,1317,932,385,701,56.3,6,3842.7,synthetic,ECI_aggregate_estimate
PC049,Telangana,Hyderabad,16343,12515,1794,2034,704,564,140,893,35.0,6,2723.8,synthetic,ECI_aggregate_estimate
PC050,Telangana,Secunderabad,35867,27564,1413,6890,524,435,89,2627,78.7,3,11955.7,synthetic,ECI_aggregate_estimate
PC051,Kerala,Thiruvananthapuram,36244,32675,3024,545,799,618,181,183,81.3,7,5177.7,synthetic,ECI_aggregate_estimate
PC052,Kerala,Ernakulam,47776,43289,5660,0,1371,1108,263,0,64.2,12,3981.3,synthetic,ECI_aggregate_estimate
PC053,Kerala,Thrissur,24337,21540,2399,398,1123,998,125,222,52.2,11,2212.5,synthetic,ECI_aggregate_estimate
PC054,Punjab,Amritsar,26423,20935,2564,2924,1503,1115,388,1139,77.4,11,2402.1,synthetic,ECI_aggregate_estimate
PC055,Punjab,Ludhiana,36548,29454,1102,5992,555,358,197,4150,48.2,2,18274.0,synthetic,ECI_aggregate_estimate
PC056,Haryana,Gurugram,17585,15669,1758,158,874,569,305,88,36.5,8,2198.1,synthetic,ECI_aggregate_estimate
PC057,Haryana,Faridabad,18042,15565,1591,886,677,509,168,502,29.6,4,4510.5,synthetic,ECI_aggregate_estimate
PC058,Bihar,Patna Sahib,25418,21328,1034,3056,542,406,136,1049,60.8,11,2310.7,synthetic,ECI_aggregate_estimate
PC059,Bihar,Gaya,37263,32028,1574,3661,2325,1785,540,1578,39.2,12,3105.2,synthetic,ECI_aggregate_estimate
PC060,Madhya Pradesh,Bhopal,25275,23194,2980,0,800,673,127,0,72.7,6,4212.5,synthetic,ECI_aggregate_estimate
PC061,Madhya Pradesh,Indore,34642,29321,3371,1950,1346,1176,170,920,81.5,10,3464.2,synthetic,ECI_aggregate_estimate
PC062,Andhra Pradesh,Visakhapatnam,49488,41162,4574,3752,3624,2917,707,2282,57.9,11,4498.9,synthetic,ECI_aggregate_estimate
PC063,Andhra Pradesh,Vijayawada,38565,32017,4468,2080,1761,1401,360,1128,65.5,5,7713.0,synthetic,ECI_aggregate_estimate
PC064,Maharashtra,Maharashtra 1,44240,33956,1858,8426,1281,919,362,4773,36.7,9,4915.6,synthetic,ECI_aggregate_estimate
PC065,West Bengal,West Bengal 2,27718,22407,3084,2227,802,759,43,882,67.6,3,9239.3,synthetic,ECI_aggregate_estimate
PC066,Bihar,Bihar 3,29202,22491,3388,3323,1703,1467,236,1998,74.1,5,5840.4,synthetic,ECI_aggregate_estimate
PC067,Madhya Pradesh,Madhya Pradesh 4,27059,20754,1845,4460,270,233,37,1393,74.2,3,9019.7,synthetic,ECI_aggregate_estimate
PC068,Tamil Nadu,Tamil Nadu 5,40178,31448,1829,6901,1210,751,459,2620,45.8,2,20089.0,synthetic,ECI_aggregate_estimate
PC069,Rajasthan,Rajasthan 6,25470,21817,1479,2174,1961,1181,780,831,32.6,12,2122.5,synthetic,ECI_aggregate_estimate
PC070,Karnataka,Karnataka 7,19597,17244,1619,734,1085,922,163,491,64.7,11,1781.5,synthetic,ECI_aggregate_estimate
PC071,Gujarat,Gujarat 8,14189,11495,1129,1565,317,219,98,669,74.3,8,1773.6,synthetic,ECI_aggregate_estimate
PC072,Andhra Pradesh,Andhra Pradesh 9,45487,37709,4939,2839,674,618,56,1127,57.9,2,22743.5,synthetic,ECI_aggregate_estimate
PC073,Odisha,Odisha 10,52427,47125,2241,3061,2750,1870,880,1993,37.4,10,5242.7,synthetic,ECI_aggregate_estimate
PC074,Telangana,Telangana 11,55308,44603,4507,6198,4035,3407,628,3670,65.2,3,18436.0,synthetic,ECI_aggregate_estimate
PC075,Kerala,Kerala 12,46487,38507,5439,2541,511,460,51,930,33.4,12,3873.9,synthetic,ECI_aggregate_estimate
PC076,Jharkhand,Jharkhand 13,50842,45477,4092,1273,2715,2328,387,887,78.2,7,7263.1,synthetic,ECI_aggregate_estimate
PC077,Assam,Assam 14,38593,29700,3616,5277,1037,788,249,2759,67.7,9,4288.1,synthetic,ECI_aggregate_estimate
PC078,Punjab,Punjab 15,25136,19602,2305,3229,1211,847,364,1068,32.9,2,12568.0,synthetic,ECI_aggregate_estimate
PC079,Chhattisgarh,Chhattisgarh 16,37278,30353,2044,4881,1498,1096,402,1769,46.5,6,6213.0,synthetic,ECI_aggregate_estimate
PC080,Haryana,Haryana 17,17745,14423,817,2505,1358,1258,100,805,31.5,8,2218.1,synthetic,ECI_aggregate_estimate
PC081,Uttarakhand,Uttarakhand 18,52181,44476,2567,5138,590,366,224,3145,35.2,6,8696.8,synthetic,ECI_aggregate_estimate
PC082,Himachal Pradesh,Himachal Pradesh 19,30297,23699,1929,4669,1361,954,407,2174,63.3,5,6059.4,synthetic,ECI_aggregate_estimate
PC083,Tripura,Tripura 20,19294,15348,1105,2841,1459,1141,318,1461,71.6,4,4823.5,synthetic,ECI_aggregate_estimate
PC084,Meghalaya,Meghalaya 21,37950,33342,2076,2532,2543,1801,742,1653,47.8,2,18975.0,synthetic,ECI_aggregate_estimate
PC085,Manipur,Manipur 22,51444,45732,1792,3920,2044,1514,530,1872,78.6,10,5144.4,synthetic,ECI_aggregate_estimate
PC086,Nagaland,Nagaland 23,38039,34732,2956,351,1640,1278,362,110,64.0,5,7607.8,synthetic,ECI_aggregate_estimate
PC087,Goa,Goa 24,30522,25776,964,3782,1663,1117,546,1830,33.8,2,15261.0,synthetic,ECI_aggregate_estimate
PC088,Arunachal Pradesh,Arunachal Pradesh 25,18637,14734,1910,1993,1263,1173,90,824,54.9,4,4659.2,synthetic,ECI_aggregate_estimate
PC089,Mizoram,Mizoram 26,38132,33209,1560,3363,887,577,310,1195,47.0,12,3177.7,synthetic,ECI_aggregate_estimate
PC090,Sikkim,Sikkim 27,26032,20120,3031,2881,1092,1020,72,1881,69.9,7,3718.9,synthetic,ECI_aggregate_estimate
PC091,Jammu and Kashmir,Jammu and Kashmir 28,17074,13225,1199,2650,1244,837,407,1013,30.9,7,2439.1,synthetic,ECI_aggregate_estimate
PC092,Ladakh,Ladakh 29,39488,35470,3397,621,2328,1980,348,420,38.8,2,19744.0,synthetic,ECI_aggregate_estimate
PC093,Uttar Pradesh,Uttar Pradesh 30,45549,38883,5228,1438,1729,1564,165,542,81.4,10,4554.9,synthetic,ECI_aggregate_estimate
PC094,Maharashtra,Maharashtra 31,49852,40753,3350,5749,3596,3183,413,3795,45.6,4,12463.0,synthetic,ECI_aggregate_estimate
PC095,West Bengal,West Bengal 32,42980,34244,4800,3936,578,455,123,2471,34.4,2,21490.0,synthetic,ECI_aggregate_estimate
PC096,Bihar,Bihar 33,18458,15984,609,1865,278,239,39,756,30.7,2,9229.0,synthetic,ECI_aggregate_estimate
PC097,Madhya Pradesh,Madhya Pradesh 34,27157,22170,2314,2673,1673,1554,119,1248,36.3,6,4526.2,synthetic,ECI_aggregate_estimate
PC098,Tamil Nadu,Tamil Nadu 35,34626,30781,2372,1473,2334,2061,273,978,70.2,6,5771.0,synthetic,ECI_aggregate_estimate
PC099,Rajasthan,Rajasthan 36,31499,24920,2283,4296,2146,1465,681,2122,66.2,2,15749.5,synthetic,ECI_aggregate_estimate
PC100,Karnataka,Karnataka 37,32083,27413,1923,2747,2169,1961,208,956,63.5,6,5347.2,synthetic,ECI_aggregate_estimate
PC101,Gujarat,Gujarat 38,47217,41149,2235,3833,2122,1933,189,1898,41.7,11,4292.5,synthetic,ECI_aggregate_estimate
PC102,Andhra Pradesh,Andhra Pradesh 39,14210,11455,717,2038,1050,957,93,839,40.0,6,2368.3,synthetic,ECI_aggregate_estimate
PC103,Odisha,Odisha 40,21672,18331,1235,2106,1358,1119,239,662,77.6,12,1806.0,synthetic,ECI_aggregate_estimate
PC104,Telangana,Telangana 41,42279,33933,4234,4112,3166,2895,271,2382,39.7,2,21139.5,synthetic,ECI_aggregate_estimate
PC105,Kerala,Kerala 42,13605,12278,527,800,715,566,149,518,37.6,12,1133.8,synthetic,ECI_aggregate_estimate
PC106,Jharkhand,Jharkhand 43,20325,16162,1808,2355,1493,1189,304,1490,56.3,5,4065.0,synthetic,ECI_aggregate_estimate
PC107,Assam,Assam 44,48407,44373,3449,585,1469,933,536,297,85.2,5,9681.4,synthetic,ECI_aggregate_estimate
PC108,Punjab,Punjab 45,18375,14700,2101,1574,295,188,107,669,33.1,11,1670.5,synthetic,ECI_aggregate_estimate
PC109,Chhattisgarh,Chhattisgarh 46,39236,35732,4425,0,2971,2253,718,0,42.3,11,3566.9,synthetic,ECI_aggregate_estimate
PC110,Haryana,Haryana 47,31187,26244,2708,2235,1457,945,512,958,59.8,8,3898.4,synthetic,ECI_aggregate_estimate
PC111,Uttarakhand,Uttarakhand 48,14751,13427,624,700,413,328,85,452,75.6,8,1843.9,synthetic,ECI_aggregate_estimate
PC112,Himachal Pradesh,Himachal Pradesh 49,11482,10333,1105,44,520,374,146,27,40.3,5,2296.4,synthetic,ECI_aggregate_estimate
PC113,Tripura,Tripura 50,34775,28196,1306,5273,1990,1373,617,2420,60.1,4,8693.8,synthetic,ECI_aggregate_estimate
PC114,Meghalaya,Meghalaya 51,18198,14911,1999,1288,1045,798,247,771,65.4,3,6066.0,synthetic,ECI_aggregate_estimate
PC115,Manipur,Manipur 52,37150,28331,2476,6343,1061,957,104,2289,63.6,8,4643.8,synthetic,ECI_aggregate_estimate
PC116,Nagaland,Nagaland 53,43497,34371,3660,5466,2622,2253,369,2336,74.7,4,10874.2,synthetic,ECI_aggregate_estimate
PC117,Goa,Goa 54,40035,34375,2540,3120,1469,1175,294,1942,78.9,12,3336.2,synthetic,ECI_aggregate_estimate
PC118,Arunachal Pradesh,Arunachal Pradesh 55,55669,50029,6104,0,2666,1626,1040,0,68.7,2,27834.5,synthetic,ECI_aggregate_estimate
PC119,Mizoram,Mizoram 56,13472,11663,767,1042,546,398,148,703,37.6,2,6736.0,synthetic,ECI_aggregate_estimate
PC120,Sikkim,Sikkim 57,30418,26220,1927,2271,1647,1513,134,1139,53.7,3,10139.3,synthetic,ECI_aggregate_estimate
PC121,Jammu and Kashmir,Jammu and Kashmir 58,50824,40175,3119,7530,1221,975,246,2420,80.8,10,5082.4,synthetic,ECI_aggregate_estimate
PC122,Ladakh,Ladakh 59,48984,41929,3467,3588,555,506,49,2315,53.0,5,9796.8,synthetic,ECI_aggregate_estimate
PC123,Uttar Pradesh,Uttar Pradesh 60,28756,23075,3114,2567,2094,1858,236,1695,48.4,12,2396.3,synthetic,ECI_aggregate_estimate
PC124,Maharashtra,Maharashtra 61,42023,36560,3692,1771,1153,845,308,1083,61.3,12,3501.9,synthetic,ECI_aggregate_estimate
PC125,West Bengal,West Bengal 62,45254,36897,4625,3732,2967,1869,1098,2228,66.6,4,11313.5,synthetic,ECI_aggregate_estimate
PC126,Bihar,Bihar 63,49484,43157,3639,2688,1297,1119,178,1879,52.7,2,24742.0,synthetic,ECI_aggregate_estimate
PC127,Madhya Pradesh,Madhya Pradesh 64,39939,32457,2407,5075,1875,1574,301,1777,33.9,4,9984.8,synthetic,ECI_aggregate_estimate
PC128,Tamil Nadu,Tamil Nadu 65,34489,29720,3572,1197,2488,2020,468,776,53.8,11,3135.4,synthetic,ECI_aggregate_estimate
PC129,Rajasthan,Rajasthan 66,52861,44225,2825,5811,3996,3609,387,2165,66.9,7,7551.6,synthetic,ECI_aggregate_estimate
PC130,Karnataka,Karnataka 67,46043,35155,2369,8519,3419,2516,903,5400,42.3,5,9208.6,synthetic,ECI_aggregate_estimate
PC131,Gujarat,Gujarat 68,23770,18730,1332,3708,993,718,275,2256,46.4,7,3395.7,synthetic,ECI_aggregate_estimate
PC132,Andhra Pradesh,Andhra Pradesh 69,30609,26979,3652,0,1561,1466,95,0,66.8,3,10203.0,synthetic,ECI_aggregate_estimate
PC133,Odisha,Odisha 70,44404,33656,4385,6363,598,441,157,3766,52.4,3,14801.3,synthetic,ECI_aggregate_estimate
PC134,Telangana,Telangana 71,30339,23307,1221,5811,2021,1777,244,1808,50.6,11,2758.1,synthetic,ECI_aggregate_estimate
PC135,Kerala,Kerala 72,22949,20969,1150,830,592,489,103,551,37.7,10,2294.9,synthetic,ECI_aggregate_estimate
PC136,Jharkhand,Jharkhand 73,47359,38460,5654,3245,1951,1685,266,1686,65.6,8,5919.9,synthetic,ECI_aggregate_estimate
PC137,Assam,Assam 74,47597,41111,4894,1592,1803,1367,436,648,49.4,4,11899.2,synthetic,ECI_aggregate_estimate
PC138,Punjab,Punjab 75,33833,27314,3026,3493,2066,1706,360,2075,70.2,4,8458.2,synthetic,ECI_aggregate_estimate
PC139,Chhattisgarh,Chhattisgarh 76,57332,50917,6177,238,4058,2656,1402,100,55.8,11,5212.0,synthetic,ECI_aggregate_estimate
PC140,Haryana,Haryana 77,60546,52024,2533,5989,1172,842,330,3539,66.3,10,6054.6,synthetic,ECI_aggregate_estimate
PC141,Uttarakhand,Uttarakhand 78,16231,12956,1091,2184,1166,760,406,1307,56.7,9,1803.4,synthetic,ECI_aggregate_estimate
PC142,Himachal Pradesh,Himachal Pradesh 79,57077,44260,2503,10314,3595,2519,1076,4510,65.3,10,5707.7,synthetic,ECI_aggregate_estimate
PC143,Tripura,Tripura 80,21323,16682,1394,3247,1534,1380,154,990,32.5,3,7107.7,synthetic,ECI_aggregate_estimate
PC144,Meghalaya,Meghalaya 81,24166,19202,1697,3267,947,662,285,1913,63.1,4,6041.5,synthetic,ECI_aggregate_estimate
PC145,Manipur,Manipur 82,17656,14682,572,2402,1327,972,355,1353,31.1,3,5885.3,synthetic,ECI_aggregate_estimate
PC146,Nagaland,Nagaland 83,49674,44852,5503,0,713,549,164,0,39.9,9,5519.3,synthetic,ECI_aggregate_estimate
PC147,Goa,Goa 84,14069,12196,516,1357,811,579,232,626,37.6,8,1758.6,synthetic,ECI_aggregate_estimate
PC148,Arunachal Pradesh,Arunachal Pradesh 85,42642,31981,4827,5834,1667,1523,144,2751,72.4,11,3876.5,synthetic,ECI_aggregate_estimate
PC149,Mizoram,Mizoram 86,45040,35240,4909,4891,3418,2331,1087,2060,42.6,5,9008.0,synthetic,ECI_aggregate_estimate
PC150,Sikkim,Sikkim 87,35542,31885,3687,0,2185,1747,438,0,35.2,2,17771.0,synthetic,ECI_aggregate_estimate
PC151,Jammu and Kashmir,Jammu and Kashmir 88,24905,22493,2736,0,1253,797,456,0,63.3,4,6226.2,synthetic,ECI_aggregate_estimate
PC152,Ladakh,Ladakh 89,55199,45870,3001,6328,3525,2328,1197,3900,48.8,11,5018.1,synthetic,ECI_aggregate_estimate
PC153,Uttar Pradesh,Uttar Pradesh 90,57214,50682,3345,3187,3411,2473,938,1763,72.9,2,28607.0,synthetic,ECI_aggregate_estimate
PC154,Maharashtra,Maharashtra 91,25678,20472,1589,3617,1924,1199,725,2253,43.9,3,8559.3,synthetic,ECI_aggregate_estimate
PC155,West Bengal,West Bengal 92,15920,14328,1875,0,779,645,134,0,61.6,11,1447.3,synthetic,ECI_aggregate_estimate
PC156,Bihar,Bihar 93,20532,17411,1194,1927,1228,907,321,696,38.2,5,4106.4,synthetic,ECI_aggregate_estimate
PC157,Madhya Pradesh,Madhya Pradesh 94,53197,47185,2780,3232,1102,991,111,1206,79.2,3,17732.3,synthetic,ECI_aggregate_estimate
PC158,Tamil Nadu,Tamil Nadu 95,20909,16142,1347,3420,274,227,47,1535,62.5,5,4181.8,synthetic,ECI_aggregate_estimate
PC159,Rajasthan,Rajasthan 96,17700,14995,1792,913,204,179,25,326,48.7,4,4425.0,synthetic,ECI_aggregate_estimate
PC160,Karnataka,Karnataka 97,24822,18996,2664,3162,938,877,61,2169,38.2,6,4137.0,synthetic,ECI_aggregate_estimate
PC161,Gujarat,Gujarat 98,34164,30501,1881,1782,611,371,240,1131,80.7,9,3796.0,synthetic,ECI_aggregate_estimate
PC162,Andhra Pradesh,Andhra Pradesh 99,23050,18184,2194,2672,1098,799,299,1235,78.2,2,11525.0,synthetic,ECI_aggregate_estimate
PC163,Odisha,Odisha 100,48955,38559,1776,8620,2219,1730,489,4869,62.2,9,5439.4,synthetic,ECI_aggregate_estimate
PC164,Telangana,Telangana 101,17047,14521,1704,822,1053,728,325,390,37.2,10,1704.7,synthetic,ECI_aggregate_estimate
PC165,Kerala,Kerala 102,19916,15820,1239,2857,653,405,248,1687,68.5,9,2212.9,synthetic,ECI_aggregate_estimate
PC166,Jharkhand,Jharkhand 103,12999,11722,1041,236,822,615,207,131,43.3,3,4333.0,synthetic,ECI_aggregate_estimate
PC167,Assam,Assam 104,28966,23862,3321,1783,531,323,208,769,80.6,3,9655.3,synthetic,ECI_aggregate_estimate
PC168,Punjab,Punjab 105,46887,41250,3838,1799,642,407,235,648,74.5,4,11721.8,synthetic,ECI_aggregate_estimate
PC169,Chhattisgarh,Chhattisgarh 106,53749,41083,4258,8408,1546,1107,439,4001,84.4,10,5374.9,synthetic,ECI_aggregate_estimate
PC170,Haryana,Haryana 107,35370,27727,2003,5640,454,327,127,3522,74.4,8,4421.2,synthetic,ECI_aggregate_estimate
PC171,Uttarakhand,Uttarakhand 108,27850,23236,3328,1286,685,448,237,832,58.4,8,3481.2,synthetic,ECI_aggregate_estimate
PC172,Himachal Pradesh,Himachal Pradesh 109,23467,19009,1338,3120,1206,1137,69,1141,56.7,6,3911.2,synthetic,ECI_aggregate_estimate
PC173,Tripura,Tripura 110,48588,38470,3876,6242,2474,1501,973,4099,48.3,10,4858.8,synthetic,ECI_aggregate_estimate
PC174,Meghalaya,Meghalaya 111,30337,22768,1498,6071,476,367,109,3856,71.8,8,3792.1,synthetic,ECI_aggregate_estimate
PC175,Manipur,Manipur 112,19929,17142,1604,1183,445,377,68,406,76.3,8,2491.1,synthetic,ECI_aggregate_estimate
PC176,Nagaland,Nagaland 113,36560,28764,2808,4988,1455,1261,194,3005,42.4,10,3656.0,synthetic,ECI_aggregate_estimate
PC177,Goa,Goa 114,23961,19123,2396,2442,376,300,76,1210,38.3,2,11980.5,synthetic,ECI_aggregate_estimate
PC178,Arunachal Pradesh,Arunachal Pradesh 115,29512,25978,3349,185,659,547,112,88,31.9,3,9837.3,synthetic,ECI_aggregate_estimate
PC179,Mizoram,Mizoram 116,37608,32581,1475,3552,718,471,247,1658,71.6,12,3134.0,synthetic,ECI_aggregate_estimate
PC180,Sikkim,Sikkim 117,44325,38803,1616,3906,1508,1304,204,2221,54.7,5,8865.0,synthetic,ECI_aggregate_estimate
PC181,Jammu and Kashmir,Jammu and Kashmir 118,46359,42118,2175,2066,1525,1168,357,803,74.1,5,9271.8,synthetic,ECI_aggregate_estimate
PC182,Ladakh,Ladakh 119,12696,10807,939,950,637,515,122,362,63.8,9,1410.7,synthetic,ECI_aggregate_estimate
PC183,Uttar Pradesh,Uttar Pradesh 120,12796,11620,1485,0,490,449,41,0,65.5,3,4265.3,synthetic,ECI_aggregate_estimate
PC184,Maharashtra,Maharashtra 121,52047,43409,3962,4676,3281,2043,1238,2591,81.6,12,4337.2,synthetic,ECI_aggregate_estimate
PC185,West Bengal,West Bengal 122,54915,47160,4693,3062,1567,1056,511,1845,33.4,10,5491.5,synthetic,ECI_aggregate_estimate
PC186,Bihar,Bihar 123,45034,38224,3130,3680,868,818,50,1601,69.8,12,3752.8,synthetic,ECI_aggregate_estimate
PC187,Madhya Pradesh,Madhya Pradesh 124,16491,15012,1233,246,618,431,187,78,61.7,8,2061.4,synthetic,ECI_aggregate_estimate
PC188,Tamil Nadu,Tamil Nadu 125,44339,36868,5232,2239,702,631,71,1445,40.0,5,8867.8,synthetic,ECI_aggregate_estimate
PC189,Rajasthan,Rajasthan 126,39486,33982,4354,1150,1267,911,356,509,33.4,10,3948.6,synthetic,ECI_aggregate_estimate
PC190,Karnataka,Karnataka 127,27582,22245,2415,2922,845,584,261,940,36.6,5,5516.4,synthetic,ECI_aggregate_estimate
PC191,Gujarat,Gujarat 128,33657,29749,3567,341,2261,1910,351,102,65.9,8,4207.1,synthetic,ECI_aggregate_estimate
PC192,Andhra Pradesh,Andhra Pradesh 129,37608,29941,2763,4904,804,657,147,3410,71.6,6,6268.0,synthetic,ECI_aggregate_estimate
PC193,Odisha,Odisha 130,49896,43047,2859,3990,2748,1868,880,2607,68.5,3,16632.0,synthetic,ECI_aggregate_estimate
PC194,Telangana,Telangana 131,32841,26089,3810,2942,836,518,318,1663,80.3,2,16420.5,synthetic,ECI_aggregate_estimate
PC195,Kerala,Kerala 132,44474,36942,2004,5528,2646,1960,686,2173,47.4,3,14824.7,synthetic,ECI_aggregate_estimate
PC196,Jharkhand,Jharkhand 133,44259,35996,5280,2983,543,382,161,1494,48.8,8,5532.4,synthetic,ECI_aggregate_estimate
PC197,Assam,Assam 134,57337,46771,6622,3944,3805,2302,1503,1928,51.7,9,6370.8,synthetic,ECI_aggregate_estimate
PC198,Punjab,Punjab 135,17268,13266,857,3145,231,207,24,1771,45.8,8,2158.5,synthetic,ECI_aggregate_estimate
