pc_id,state,constituency_name,total_registered_voters,male_voters,female_voters,age_18_25,age_26_40,age_41_60,age_60_plus,literacy_rate_percent,last_election_turnout_percent,data_origin,anchor_level
PC019,Karnataka,Bangalore Central,2004790,1030314,974476,302930,731334,634304,336222,89.64,49.55,synthetic,ECI_aggregate_estimate
PC020,Karnataka,Bangalore South,2208001,1151346,1056655,377999,736667,726285,367050,55.33,58.56,synthetic,ECI_aggregate_estimate
PC021,Karnataka,Bangalore Rural,2242955,1120271,1122684,351958,723808,736296,430893,67.43,60.7,synthetic,ECI_aggregate_estimate
PC022,Karnataka,Mysore,1196807,604937,591870,242857,433571,379964,140415,70.99,74.17,synthetic,ECI_aggregate_estimate
PC023,Karnataka,Mangalore,2840198,1429303,1410895,515919,1020382,897724,406173,72.72,63.3,synthetic,ECI_aggregate_estimate
PC024,Tamil Nadu,Chennai North,2030999,1030916,1000083,392363,704371,701997,232268,79.98,46.97,synthetic,ECI_aggregate_estimate
PC025,Tamil Nadu,Chennai South,2486777,1238207,1248570,416967,901323,802681,365806,80.25,53.84,synthetic,ECI_aggregate_estimate
PC026,Tamil Nadu,Chennai Central,3131620,1585027,1546593,659209,1124838,1024418,323155,79.44,75.2,synthetic,ECI_aggregate_estimate
PC027,Tamil Nadu,Coimbatore,3153831,1636865,1516966,484198,1006335,894606,768692,71.5,83.62,synthetic,ECI_aggregate_estimate
PC028,Tamil Nadu,Madurai,1371729,731836,639893,236740,456431,451029,227529,93.16,81.72,synthetic,ECI_aggregate_estimate
PC029,West Bengal,Kolkata North,2347622,1215518,1132104,491757,711651,728899,415315,88.72,84.71,synthetic,ECI_aggregate_estimate
PC030,West Bengal,Kolkata South,2919279,1472634,1446645,451251,933089,953005,581934,75.24,58.48,synthetic,ECI_aggregate_estimate
PC031,West Bengal,Howrah,1974952,995831,979121,303422,686267,625414,359849,86.87,50.4,synthetic,ECI_aggregate_estimate
PC032,West Bengal,Darjeeling,1820786,935389,885397,332904,589518,599967,298397,62.32,52.78,synthetic,ECI_aggregate_estimate
PC033,Gujarat,Ahmedabad East,3138920,1645786,1493134,653786,1147729,1088621,248784,90.4,53.96,synthetic,ECI_aggregate_estimate
PC034,Gujarat,Ahmedabad West,2950238,1542796,1407442,610978,1094163,1017284,227813,58.18,81.53,synthetic,ECI_aggregate_estimate
PC035,Gujarat,Surat,1248618,616983,631635,195289,417674,374585,261070,68.91,55.3,synthetic,ECI_aggregate_estimate
PC036,Gujarat,Vadodara,1620370,778037,842333,352779,504310,534722,228559,92.35,52.91,synthetic,ECI_aggregate_estimate
PC037,Rajasthan,Jaipur,1834263,971421,862842,385195,632578,590310,226180,87.71,73.11,synthetic,ECI_aggregate_estimate
PC038,Rajasthan,Jaipur Rural,1058532,509738,548794,190178,347070,338188,183096,60.63,71.35,synthetic,ECI_aggregate_estimate
PC039,Rajasthan,Jodhpur,2237959,1118505,1119454,344279,727697,719968,446015,55.71,74.44,synthetic,ECI_aggregate_estimate
PC040,Rajasthan,Udaipur,1118692,562115,556577,203103,381723,337568,196298,90.6,59.14,synthetic,ECI_aggregate_estimate
PC041,Uttar Pradesh,Lucknow,2826796,1368284,1458512,456723,949517,841705,578851,59.28,71.89,synthetic,ECI_aggregate_estimate
PC042,Uttar Pradesh,Kanpur,2011947,965867,1046080,366776,641751,581709,421711,70.42,71.72,synthetic,ECI_aggregate_estimate
PC043,Uttar Pradesh,Varanasi,2225872,1119980,1105892,385940,827959,637198,374775,64.6,54.65,synthetic,ECI_aggregate_estimate
PC044,Uttar Pradesh,Allahabad,2002930,1071930,931000,352764,755361,605069,289736,69.98,72.12,synthetic,ECI_aggregate_estimate
PC045,Uttar Pradesh,Agra,1312901,685376,627525,215670,453666,396855,246710,65.18,84.48,synthetic,ECI_aggregate_estimate
PC046,Uttar Pradesh,Meerut,1901457,965310,936147,329562,619477,539697,412721,74.54,57.5,synthetic,ECI_aggregate_estimate
PC047,Uttar Pradesh,Ghaziabad,2918065,1400671,1517394,439202,1016465,869110,593288,69.8,67.54,synthetic,ECI_aggregate_estimate
PC048,Uttar Pradesh,Noida,2740290,1330158,1410132,523161,849169,927538,440422,73.45,52.25,synthetic,ECI_aggregate_estimate
PC049,Telangana,Hyderabad,1837640,951995,885645,335258,588190,522219,391973,69.6,84.8,synthetic,ECI_aggregate_estimate
PC050,Telangana,Secunderabad,2267102,1174640,1092462,433967,854749,672050,306336,63.42,68.9,synthetic,ECI_aggregate_estimate
PC051,Kerala,Thiruvananthapuram,3157075,1580762,1576313,487030,1106105,1000492,563448,61.72,79.95,synthetic,ECI_aggregate_estimate
PC052,Kerala,Ernakulam,2395731,1177234,1218497,470506,754587,699344,471294,68.63,59.54,synthetic,ECI_aggregate_estimate
PC053,Kerala,Thrissur,1510231,814394,695837,313803,530605,526912,138911,58.17,71.13,synthetic,ECI_aggregate_estimate
PC054,Punjab,Amritsar,1157925,562659,595266,213904,380416,336596,227009,61.82,73.99,synthetic,ECI_aggregate_estimate
PC055,Punjab,Ludhiana,1230203,654995,575208,227109,452989,354093,196012,76.76,71.16,synthetic,ECI_aggregate_estimate
PC056,Haryana,Gurugram,2202266,1106546,1095720,470435,819848,702403,209580,90.67,52.49,synthetic,ECI_aggregate_estimate
PC057,Haryana,Faridabad,2665269,1375344,1289925,491691,980237,888553,304788,69.78,84.66,synthetic,ECI_aggregate_estimate
PC058,Bihar,Patna Sahib,1001460,497120,504340,195713,327890,306124,171733,60.8,69.69,synthetic,ECI_aggregate_estimate
PC059,Bihar,Gaya,2794072,1393398,1400674,604406,1043511,859190,286965,72.36,77.61,synthetic,ECI_aggregate_estimate
PC060,Madhya Pradesh,Bhopal,2694532,1345355,1349177,551203,889620,898602,355107,75.16,76.6,synthetic,ECI_aggregate_estimate
PC061,Madhya Pradesh,Indore,1628261,810515,817746,312959,548366,520962,245974,81.49,70.2,synthetic,ECI_aggregate_estimate
PC062,Andhra Pradesh,Visakhapatnam,2253520,1123657,1129863,362560,784143,671083,435734,76.28,77.81,synthetic,ECI_aggregate_estimate
PC063,Andhra Pradesh,Vijayawada,1369606,675799,693807,291457,476885,407031,194233,92.57,65.61,synthetic,ECI_aggregate_estimate
PC064,Maharashtra,Maharashtra 1,1177757,614589,563168,217280,444004,359066,157407,94.76,69.5,synthetic,ECI_aggregate_estimate
PC065,West Bengal,West Bengal 2,1063405,549036,514369,200412,349126,298424,215443,88.65,68.38,synthetic,ECI_aggregate_estimate
PC066,Bihar,Bihar 3,2077885,1037417,1040468,359636,633963,715405,368881,64.51,70.17,synthetic,ECI_aggregate_estimate
PC067,Madhya Pradesh,Madhya Pradesh 4,1246681,613990,632691,201928,431510,409384,203859,76.8,59.23,synthetic,ECI_aggregate_estimate
PC068,Tamil Nadu,Tamil Nadu 5,1541231,786738,754493,302738,566648,492211,179634,78.4,84.38,synthetic,ECI_aggregate_estimate
PC069,Rajasthan,Rajasthan 6,2774284,1406561,1367723,478615,839771,944122,511776,58.84,68.74,synthetic,ECI_aggregate_estimate
PC070,Karnataka,Karnataka 7,1321636,653169,668467,277128,492333,376490,175685,58.67,68.25,synthetic,ECI_aggregate_estimate
PC071,Gujarat,Gujarat 8,2511042,1209546,1301496,451987,937602,796407,325046,55.39,61.3,synthetic,ECI_aggregate_estimate
PC072,Andhra Pradesh,Andhra Pradesh 9,1518474,799583,718891,303087,499401,514106,201880,93.72,77.9,synthetic,ECI_aggregate_estimate
PC073,Odisha,Odisha 10,1906106,915109,990997,363761,717214,550610,274521,79.5,46.47,synthetic,ECI_aggregate_estimate
PC074,Telangana,Telangana 11,1174709,588028,586681,199700,414573,330495,229941,66.18,74.4,synthetic,ECI_aggregate_estimate
PC075,Kerala,Kerala 12,2122131,1131408,990723,407712,678523,614675,421221,76.4,68.55,synthetic,ECI_aggregate_estimate
PC076,Jharkhand,Jharkhand 13,2569156,1383293,1185863,398985,959299,790858,420014,89.3,51.84,synthetic,ECI_aggregate_estimate
PC077,Assam,Assam 14,2266739,1142079,1124660,442902,680357,686860,456620,78.86,55.55,synthetic,ECI_aggregate_estimate
PC078,Punjab,Punjab 15,1490204,721309,768895,228801,453162,513551,294690,88.38,65.47,synthetic,ECI_aggregate_estimate
PC079,Chhattisgarh,Chhattisgarh 16,1938291,1025040,913251,350216,667350,651241,269484,59.46,73.89,synthetic,ECI_aggregate_estimate
PC080,Haryana,Haryana 17,2231792,1144908,1086884,460731,757245,661885,351931,56.48,81.4,synthetic,ECI_aggregate_estimate
PC081,Uttarakhand,Uttarakhand 18,2851786,1421779,1430007,473848,1066758,973762,337418,90.23,77.93,synthetic,ECI_aggregate_estimate
PC082,Himachal Pradesh,Himachal Pradesh 19,1412113,691765,720348,217008,527694,457173,210238,89.9,55.2,synthetic,ECI_aggregate_estimate
PC083,Tripura,Tripura 20,1609411,789393,820018,348273,596987,463140,201011,73.69,75.32,synthetic,ECI_aggregate_estimate
PC084,Meghalaya,Meghalaya 21,2594619,1293892,1300727,482864,956133,730965,424657,78.53,51.34,synthetic,ECI_aggregate_estimate
PC085,Manipur,Manipur 22,1905266,965923,939343,380453,577267,589797,357749,67.8,76.53,synthetic,ECI_aggregate_estimate
PC086,Nagaland,Nagaland 23,2849308,1534664,1314644,583936,1018603,995626,251143,82.17,68.53,synthetic,ECI_aggregate_estimate
PC087,Goa,Goa 24,2426196,1247590,1178606,484748,867661,785786,288001,90.98,54.21,synthetic,ECI_aggregate_estimate
PC088,Arunachal Pradesh,Arunachal Pradesh 25,3026758,1627382,1399376,555854,1013963,849480,607461,74.37,77.57,synthetic,ECI_aggregate_estimate
PC089,Mizoram,Mizoram 26,2945909,1587850,1358059,527732,1056867,910737,450573,88.64,84.93,synthetic,ECI_aggregate_estimate
PC090,Sikkim,Sikkim 27,2485977,1278672,1207305,447458,914554,735232,388733,58.95,78.21,synthetic,ECI_aggregate_estimate
PC091,Jammu and Kashmir,Jammu and Kashmir 28,2254700,1212950,1041750,352074,717537,758800,426289,72.91,59.39,synthetic,ECI_aggregate_estimate
PC092,Ladakh,Ladakh 29,2103515,1074180,1029335,325289,727559,591905,458762,64.3,63.1,synthetic,ECI_aggregate_estimate
PC093,Uttar Pradesh,Uttar Pradesh 30,2344097,1235716,1108381,401468,751819,710523,480287,69.68,48.16,synthetic,ECI_aggregate_estimate
PC094,Maharashtra,Maharashtra 31,2624855,1367212,1257643,476346,801099,882051,465359,75.37,48.86,synthetic,ECI_aggregate_estimate
PC095,West Bengal,West Bengal 32,1865346,904155,961191,280171,583067,651661,350447,93.85,74.84,synthetic,ECI_aggregate_estimate
PC096,Bihar,Bihar 33,3170111,1533339,1636772,517942,1088257,1051092,512820,73.34,84.88,synthetic,ECI_aggregate_estimate
PC097,Madhya Pradesh,Madhya Pradesh 34,2592093,1257694,1334399,511544,905454,852445,322650,91.28,68.33,synthetic,ECI_aggregate_estimate
PC098,Tamil Nadu,Tamil Nadu 35,1151912,563956,587956,182574,417374,359222,192742,78.97,83.92,synthetic,ECI_aggregate_estimate
PC099,Rajasthan,Rajasthan 36,2765140,1340996,1424144,433567,902125,905917,523531,92.1,73.87,synthetic,ECI_aggregate_estimate
PC100,Karnataka,Karnataka 37,1124697,579302,545395,194467,404489,387894,137847,77.11,48.96,synthetic,ECI_aggregate_estimate
PC101,Gujarat,Gujarat 38,1180831,595767,585064,177715,413229,345384,244503,80.57,59.85,synthetic,ECI_aggregate_estimate
PC102,Andhra Pradesh,Andhra Pradesh 39,905912,475844,430068,175249,319159,268526,142978,81.9,46.36,synthetic,ECI_aggregate_estimate
PC103,Odisha,Odisha 40,1173582,591641,581941,254553,425562,329138,164329,91.52,83.78,synthetic,ECI_aggregate_estimate
PC104,Telangana,Telangana 41,1884991,958941,926050,406654,712117,617690,148530,81.25,69.24,synthetic,ECI_aggregate_estimate
PC105,Kerala,Kerala 42,3147578,1567632,1579946,490921,1055751,937505,663401,60.97,68.12,synthetic,ECI_aggregate_estimate
PC106,Jharkhand,Jharkhand 43,3137962,1577234,1560728,649020,1152967,925154,410821,62.78,83.33,synthetic,ECI_aggregate_estimate
PC107,Assam,Assam 44,2554939,1284724,1270215,515307,950721,836956,251955,78.51,47.94,synthetic,ECI_aggregate_estimate
PC108,Punjab,Punjab 45,1819434,933731,885703,297902,570085,628392,323055,86.81,67.17,synthetic,ECI_aggregate_estimate
PC109,Chhattisgarh,Chhattisgarh 46,1478372,710476,767896,319569,485321,510396,163086,55.22,74.4,synthetic,ECI_aggregate_estimate
PC110,Haryana,Haryana 47,1144890,617159,527731,173073,389465,329145,253207,88.19,57.86,synthetic,ECI_aggregate_estimate
PC111,Uttarakhand,Uttarakhand 48,1950062,979678,970384,395814,611841,601339,341068,90.8,45.2,synthetic,ECI_aggregate_estimate
PC112,Himachal Pradesh,Himachal Pradesh 49,1238154,610332,627822,252479,378958,384514,222203,66.5,58.9,synthetic,ECI_aggregate_estimate
PC113,Tripura,Tripura 50,1496127,745006,751121,258242,478089,445573,314223,58.1,59.13,synthetic,ECI_aggregate_estimate
PC114,Meghalaya,Meghalaya 51,2319893,1201814,1118079,452595,722916,682364,462018,59.29,69.73,synthetic,ECI_aggregate_estimate
PC115,Manipur,Manipur 52,1538428,748280,790148,299694,472272,478709,287753,61.44,67.7,synthetic,ECI_aggregate_estimate
PC116,Nagaland,Nagaland 53,1281683,691159,590524,257283,433608,382998,207794,86.19,55.55,synthetic,ECI_aggregate_estimate
PC117,Goa,Goa 54,2048811,1010145,1038666,415373,746496,716113,170829,76.64,66.59,synthetic,ECI_aggregate_estimate
PC118,Arunachal Pradesh,Arunachal Pradesh 55,2697479,1392418,1305061,559903,866457,796462,474657,79.29,70.2,synthetic,ECI_aggregate_estimate
PC119,Mizoram,Mizoram 56,1729366,928981,800385,283896,588080,525543,331847,82.42,73.76,synthetic,ECI_aggregate_estimate
PC120,Sikkim,Sikkim 57,2901400,1444612,1456788,604524,878123,814534,604219,69.67,78.64,synthetic,ECI_aggregate_estimate
PC121,Jammu and Kashmir,Jammu and Kashmir 58,1818418,954617,863801,273055,630485,618412,296466,76.6,58.85,synthetic,ECI_aggregate_estimate
PC122,Ladakh,Ladakh 59,2352221,1168301,1183920,468048,880656,749496,254021,90.45,59.54,synthetic,ECI_aggregate_estimate
PC123,Uttar Pradesh,Uttar Pradesh 60,1664990,802111,862879,365779,532487,559378,207346,66.39,57.48,synthetic,ECI_aggregate_estimate
PC124,Maharashtra,Maharashtra 61,1369305,660066,709239,263621,427714,466417,211553,70.39,56.47,synthetic,ECI_aggregate_estimate
PC125,West Bengal,West Bengal 62,1484244,765551,718693,269677,544199,448272,222096,94.72,45.51,synthetic,ECI_aggregate_estimate
PC126,Bihar,Bihar 63,1464012,746168,717844,271690,448886,509053,234383,89.47,74.58,synthetic,ECI_aggregate_estimate
PC127,Madhya Pradesh,Madhya Pradesh 64,2968838,1582828,1386010,495201,1103833,945630,424174,60.46,60.26,synthetic,ECI_aggregate_estimate
PC128,Tamil Nadu,Tamil Nadu 65,2361996,1255745,1106251,425383,795752,716598,424263,72.35,71.94,synthetic,ECI_aggregate_estimate
PC129,Rajasthan,Rajasthan 66,1140007,556363,583644,184688,394663,362933,197723,60.7,62.41,synthetic,ECI_aggregate_estimate
PC130,Karnataka,Karnataka 67,2798475,1510761,1287714,572993,1003301,866252,355929,86.77,48.13,synthetic,ECI_aggregate_estimate
PC131,Gujarat,Gujarat 68,2818969,1427743,1391226,423695,1042888,915515,436871,78.85,55.52,synthetic,ECI_aggregate_estimate
PC132,Andhra Pradesh,Andhra Pradesh 69,2172742,1161391,1011351,405484,707447,636184,423627,63.8,59.49,synthetic,ECI_aggregate_estimate
PC133,Odisha,Odisha 70,1266025,635612,630413,209980,386736,411985,257324,64.67,73.37,synthetic,ECI_aggregate_estimate
PC134,Telangana,Telangana 71,1254939,668393,586546,206593,401396,372161,274789,74.7,77.94,synthetic,ECI_aggregate_estimate
PC135,Kerala,Kerala 72,2534466,1291800,1242666,444378,773737,738218,578133,78.92,56.68,synthetic,ECI_aggregate_estimate
PC136,Jharkhand,Jharkhand 73,1197493,593634,603859,220982,416509,393144,166858,68.87,79.33,synthetic,ECI_aggregate_estimate
PC137,Assam,Assam 74,2530190,1299887,1230303,541372,837534,729608,421676,63.12,76.97,synthetic,ECI_aggregate_estimate
PC138,Punjab,Punjab 75,2345530,1178188,1167342,496633,840266,660844,347787,59.62,68.6,synthetic,ECI_aggregate_estimate
PC139,Chhattisgarh,Chhattisgarh 76,2986860,1479412,1507448,502226,954493,852999,677142,57.57,71.57,synthetic,ECI_aggregate_estimate
PC140,Haryana,Haryana 77,1932635,1023445,909190,334089,579790,667097,351659,73.42,50.58,synthetic,ECI_aggregate_estimate
PC141,Uttarakhand,Uttarakhand 78,2807076,1396508,1410568,545192,864479,969193,428212,69.8,46.0,synthetic,ECI_aggregate_estimate
PC142,Himachal Pradesh,Himachal Pradesh 79,2296508,1116647,1179861,426135,855582,730078,284713,60.11,53.68,synthetic,ECI_aggregate_estimate
PC143,Tripura,Tripura 80,2545373,1273331,1272042,513479,797842,842424,391628,67.17,82.27,synthetic,ECI_aggregate_estimate
PC144,Meghalaya,Meghalaya 81,1334504,665706,668798,274194,463539,449103,147668,93.53,65.24,synthetic,ECI_aggregate_estimate
PC145,Manipur,Manipur 82,1273918,641767,632151,207131,442875,397899,226013,63.21,59.2,synthetic,ECI_aggregate_estimate
PC146,Nagaland,Nagaland 83,1722374,864945,857429,347717,641067,591386,142204,76.75,48.23,synthetic,ECI_aggregate_estimate
PC147,Goa,Goa 84,2708133,1362092,1346041,555085,909068,830469,413511,73.82,80.8,synthetic,ECI_aggregate_estimate
PC148,Arunachal Pradesh,Arunachal Pradesh 85,1147108,562082,585026,234010,362959,357764,192375,77.76,65.42,synthetic,ECI_aggregate_estimate
PC149,Mizoram,Mizoram 86,2025633,1044876,980757,418507,607753,660316,339057,89.97,59.9,synthetic,ECI_aggregate_estimate
PC150,Sikkim,Sikkim 87,2520506,1245616,1274890,450138,844146,786527,439695,86.38,48.29,synthetic,ECI_aggregate_estimate
PC151,Jammu and Kashmir,Jammu and Kashmir 88,1809095,904373,904722,354848,684284,601683,168280,78.78,70.61,synthetic,ECI_aggregate_estimate
PC152,Ladakh,Ladakh 89,1315103,642016,673087,230473,468932,429495,186203,79.31,63.19,synthetic,ECI_aggregate_estimate
PC153,Uttar Pradesh,Uttar Pradesh 90,898884,441284,457600,162168,287977,304045,144694,76.57,61.3,synthetic,ECI_aggregate_estimate
PC154,Maharashtra,Maharashtra 91,1937994,1021751,916243,366909,659990,627378,283717,91.87,59.79,synthetic,ECI_aggregate_estimate
PC155,West Bengal,West Bengal 92,1200503,599198,601305,249815,412689,337378,200621,56.58,55.23,synthetic,ECI_aggregate_estimate
PC156,Bihar,Bihar 93,1115973,600911,515062,222281,373023,362403,158266,60.49,83.28,synthetic,ECI_aggregate_estimate
PC157,Madhya Pradesh,Madhya Pradesh 94,1298136,672812,625324,222740,400357,404903,270136,78.91,68.31,synthetic,ECI_aggregate_estimate
PC158,Tamil Nadu,Tamil Nadu 95,2761061,1413929,1347132,595520,834789,935601,395151,81.58,75.65,synthetic,ECI_aggregate_estimate
PC159,Rajasthan,Rajasthan 96,2144820,1153733,991087,445904,781962,748927,168027,67.25,61.35,synthetic,ECI_aggregate_estimate
PC160,Karnataka,Karnataka 97,1256363,653852,602511,203530,462377,390241,200215,73.68,71.28,synthetic,ECI_aggregate_estimate
PC161,Gujarat,Gujarat 98,2497944,1277991,1219953,524394,771450,743881,458219,78.27,64.33,synthetic,ECI_aggregate_estimate
PC162,Andhra Pradesh,Andhra Pradesh 99,2067203,1031345,1035858,313811,747519,710600,295273,68.55,76.57,synthetic,ECI_aggregate_estimate
PC163,Odisha,Odisha 100,2459637,1282288,1177349,503330,775821,817917,362569,58.48,57.4,synthetic,ECI_aggregate_estimate
PC164,Telangana,Telangana 101,2838417,1375541,1462876,527335,945333,961189,404560,60.37,69.0,synthetic,ECI_aggregate_estimate
PC165,Kerala,Kerala 102,1574627,816983,757644,301280,483534,473980,315833,93.4,62.99,synthetic,ECI_aggregate_estimate
PC166,Jharkhand,Jharkhand 103,2470396,1218133,1252263,525794,810815,845944,287843,76.35,65.38,synthetic,ECI_aggregate_estimate
PC167,Assam,Assam 104,1986673,1015264,971409,380871,750890,691751,163161,80.65,47.78,synthetic,ECI_aggregate_estimate
PC168,Punjab,Punjab 105,1687905,857323,830582,311398,523048,535142,318317,71.89,56.73,synthetic,ECI_aggregate_estimate
PC169,Chhattisgarh,Chhattisgarh 106,2299088,1108142,1190946,378967,797428,796042,326651,92.11,57.67,synthetic,ECI_aggregate_estimate
PC170,Haryana,Haryana 107,1393888,703615,690273,266729,433510,455405,238244,75.65,45.7,synthetic,ECI_aggregate_estimate
PC171,Uttarakhand,Uttarakhand 108,2038603,1007336,1031267,354076,708880,708127,267520,78.23,78.2,synthetic,ECI_aggregate_estimate
PC172,Himachal Pradesh,Himachal Pradesh 109,966489,504131,462358,151921,294994,307425,212149,93.56,72.93,synthetic,ECI_aggregate_estimate
PC173,Tripura,Tripura 110,1452497,762570,689927,275974,460289,443972,272262,57.37,79.86,synthetic,ECI_aggregate_estimate
PC174,Meghalaya,Meghalaya 111,1092504,569615,522889,230898,401768,331775,128063,88.83,53.39,synthetic,ECI_aggregate_estimate
PC175,Manipur,Manipur 112,3037086,1600804,1436282,625692,983180,946447,481767,85.54,45.21,synthetic,ECI_aggregate_estimate
PC176,Nagaland,Nagaland 113,1264648,679073,585575,190700,475499,367181,231268,75.45,52.93,synthetic,ECI_aggregate_estimate
PC177,Goa,Goa 114,1083816,541604,542212,231387,359894,326994,165541,81.87,55.23,synthetic,ECI_aggregate_estimate
PC178,Arunachal Pradesh,Arunachal Pradesh 115,1137324,551973,585351,201542,353700,389114,192968,57.85,65.16,synthetic,ECI_aggregate_estimate
PC179,Mizoram,Mizoram 116,3092589,1572933,1519656,523063,1007863,889291,672372,58.86,77.87,synthetic,ECI_aggregate_estimate
PC180,Sikkim,Sikkim 117,2859684,1385493,1474191,562892,1035730,908988,352074,91.15,73.42,synthetic,ECI_aggregate_estimate
PC181,Jammu and Kashmir,Jammu and Kashmir 118,1389236,700461,688775,285383,489521,405973,208359,84.54,84.64,synthetic,ECI_aggregate_estimate
PC182,Ladakh,Ladakh 119,2875810,1429266,1446544,500035,901880,931266,542629,57.21,53.96,synthetic,ECI_aggregate_estimate
PC183,Uttar Pradesh,Uttar Pradesh 120,2607698,1377502,1230196,490264,968443,890202,258789,84.88,77.21,synthetic,ECI_aggregate_estimate
PC184,Maharashtra,Maharashtra 121,3115853,1573171,1542682,559299,1020124,876909,659521,70.43,63.47,synthetic,ECI_aggregate_estimate
PC185,West Bengal,West Bengal 122,1450746,722470,728276,263533,459562,414212,313439,66.52,65.76,synthetic,ECI_aggregate_estimate
PC186,Bihar,Bihar 123,1375388,694614,680774,218104,510932,416855,229497,72.26,61.19,synthetic,ECI_aggregate_estimate
PC187,Madhya Pradesh,Madhya Pradesh 124,1151528,584434,567094,222391,385875,328353,214909,81.52,48.14,synthetic,ECI_aggregate_estimate
PC188,Tamil Nadu,Tamil Nadu 125,1945545,1040261,905284,353577,693520,675830,222618,87.41,72.4,synthetic,ECI_aggregate_estimate
PC189,Rajasthan,Rajasthan 126,1999645,978304,1021341,340583,748447,589308,321307,77.78,65.39,synthetic,ECI_aggregate_estimate
PC190,Karnataka,Karnataka 127,1662546,847385,815161,256462,603390,547725,254969,94.84,45.12,synthetic,ECI_aggregate_estimate
PC191,Gujarat,Gujarat 128,2342603,1178746,1163857,403446,740973,749632,448552,73.27,68.55,synthetic,ECI_aggregate_estimate
PC192,Andhra Pradesh,Andhra Pradesh 129,3025135,1579767,1445368,648092,1019355,907540,450148,68.94,51.34,synthetic,ECI_aggregate_estimate
PC193,Odisha,Odisha 130,3146848,1651508,1495340,534395,957716,1007769,646968,71.67,73.68,synthetic,ECI_aggregate_estimate
PC194,Telangana,Telangana 131,2707582,1409020,1298562,459151,845144,822874,580413,74.15,73.5,synthetic,ECI_aggregate_estimate
PC195,Kerala,Kerala 132,2548569,1304887,1243682,418414,939081,735940,455134,62.42,81.9,synthetic,ECI_aggregate_estimate
PC196,Jharkhand,Jharkhand 133,2544242,1253301,1290941,398443,808211,744687,592901,91.96,80.13,synthetic,ECI_aggregate_estimate
PC197,Assam,Assam 134,2110429,1038004,1072425,411534,697367,672076,329452,74.92,68.78,synthetic,ECI_aggregate_estimate
PC198,Punjab,Punjab 135,2687795,1329841,1357954,433251,918160,849106,487278,66.82,50.79,synthetic,ECI_aggregate_estimate
PC199,Chhattisgarh,Chhattisgarh 136,1478553,774780,703773,314114,493375,460404,210660,89.51,54.53,synthetic,ECI_aggregate_estimate
PC200,Haryana,Haryana 137,1827959,932135,895824,337895,670372,619412,200280,91.42,75.39,synthetic,ECI_aggregate_estimate
PC201,Uttarakhand,Uttarakhand 138,1060877,513222,547655,183742,363271,298486,215378,61.74,62.9,synthetic,ECI_aggregate_estimate
PC202,Himachal Pradesh,Himachal Pradesh 139,1995771,1007343,988428,386494,627911,631167,350199,55.49,59.78,synthetic,ECI_aggregate_estimate
