pc_id,state,constituency_name,form6_addition_requests,form6_inward_migration,form6_outward_migration,net_migration,form7_deletion_requests,form8_correction_requests,data_origin,anchor_level
PC093,Uttar Pradesh,Uttar Pradesh 30,4960,2311,2649,-338,668,988,synthetic,ECI_aggregate_estimate
PC094,Maharashtra,Maharashtra 31,1758,701,1057,-356,261,439,synthetic,ECI_aggregate_estimate
PC095,West Bengal,West Bengal 32,2344,1089,1255,-166,292,285,synthetic,ECI_aggregate_estimate
PC096,Bihar,Bihar 33,6845,3050,3795,-745,930,1470,synthetic,ECI_aggregate_estimate
PC097,Madhya Pradesh,Madhya Pradesh 34,7095,3220,3875,-655,1040,1531,synthetic,ECI_aggregate_estimate
PC098,Tamil Nadu,Tamil Nadu 35,4933,2823,2110,713,570,611,synthetic,ECI_aggregate_estimate
PC099,Rajasthan,Rajasthan 36,6417,2667,3750,-1083,663,1505,synthetic,ECI_aggregate_estimate
PC100,Karnataka,Karnataka 37,5855,3491,2364,1127,726,1129,synthetic,ECI_aggregate_estimate
PC101,Gujarat,Gujarat 38,4614,2532,2082,450,592,1065,synthetic,ECI_aggregate_estimate
PC102,Andhra Pradesh,Andhra Pradesh 39,3585,2278,1307,971,323,398,synthetic,ECI_aggregate_estimate
PC103,Odisha,Odisha 40,2468,1275,1193,82,135,552,synthetic,ECI_aggregate_estimate
PC104,Telangana,Telangana 41,7095,3167,3928,-761,699,1315,synthetic,ECI_aggregate_estimate
PC105,Kerala,Kerala 42,1665,729,936,-207,189,170,synthetic,ECI_aggregate_estimate
PC106,Jharkhand,Jharkhand 43,5132,3280,1852,1428,370,878,synthetic,ECI_aggregate_estimate
PC107,Assam,Assam 44,1772,713,1059,-346,224,225,synthetic,ECI_aggregate_estimate
PC108,Punjab,Punjab 45,2505,1362,1143,219,235,390,synthetic,ECI_aggregate_estimate
PC109,Chhattisgarh,Chhattisgarh 46,4302,1737,2565,-828,506,899,synthetic,ECI_aggregate_estimate
PC110,Haryana,Haryana 47,1805,848,957,-109,99,255,synthetic,ECI_aggregate_estimate
PC111,Uttarakhand,Uttarakhand 48,6464,3647,2817,830,403,991,synthetic,ECI_aggregate_estimate
PC112,Himachal Pradesh,Himachal Pradesh 49,6689,2942,3747,-805,356,856,synthetic,ECI_aggregate_estimate
PC113,Tripura,Tripura 50,3577,2119,1458,661,311,667,synthetic,ECI_aggregate_estimate
PC114,Meghalaya,Meghalaya 51,6515,2673,3842,-1169,708,1238,synthetic,ECI_aggregate_estimate
PC115,Manipur,Manipur 52,5347,2407,2940,-533,457,817,synthetic,ECI_aggregate_estimate
PC116,Nagaland,Nagaland 53,5581,3021,2560,461,464,1252,synthetic,ECI_aggregate_estimate
PC117,Goa,Goa 54,3807,2031,1776,255,296,399,synthetic,ECI_aggregate_estimate
PC118,Arunachal Pradesh,Arunachal Pradesh 55,4867,1729,3138,-1409,479,1099,synthetic,ECI_aggregate_estimate
PC119,Mizoram,Mizoram 56,6673,2785,3888,-1103,665,893,synthetic,ECI_aggregate_estimate
PC120,Sikkim,Sikkim 57,1995,972,1023,-51,220,484,synthetic,ECI_aggregate_estimate
PC121,Jammu and Kashmir,Jammu and Kashmir 58,1575,714,861,-147,191,195,synthetic,ECI_aggregate_estimate
PC122,Ladakh,Ladakh 59,5257,2316,2941,-625,661,786,synthetic,ECI_aggregate_estimate
PC123,Uttar Pradesh,Uttar Pradesh 60,4773,2298,2475,-177,414,562,synthetic,ECI_aggregate_estimate
PC124,Maharashtra,Maharashtra 61,3173,1825,1348,477,389,662,synthetic,ECI_aggregate_estimate
PC125,West Bengal,West Bengal 62,5301,2515,2786,-271,625,1108,synthetic,ECI_aggregate_estimate
PC126,Bihar,Bihar 63,5008,2385,2623,-238,534,1002,synthetic,ECI_aggregate_estimate
PC127,Madhya Pradesh,Madhya Pradesh 64,3395,2155,1240,915,479,824,synthetic,ECI_aggregate_estimate
PC128,Tamil Nadu,Tamil Nadu 65,2484,1026,1458,-432,152,540,synthetic,ECI_aggregate_estimate
PC129,Rajasthan,Rajasthan 66,3843,1601,2242,-641,568,794,synthetic,ECI_aggregate_estimate
PC130,Karnataka,Karnataka 67,5979,2184,3795,-1611,726,1210,synthetic,ECI_aggregate_estimate
PC131,Gujarat,Gujarat 68,3757,2322,1435,887,538,700,synthetic,ECI_aggregate_estimate
PC132,Andhra Pradesh,Andhra Pradesh 69,5587,3395,2192,1203,785,1332,synthetic,ECI_aggregate_estimate
PC133,Odisha,Odisha 70,5273,3307,1966,1341,444,936,synthetic,ECI_aggregate_estimate
PC134,Telangana,Telangana 71,3835,1737,2098,-361,540,483,synthetic,ECI_aggregate_estimate
PC135,Kerala,Kerala 72,4613,2430,2183,247,555,490,synthetic,ECI_aggregate_estimate
PC136,Jharkhand,Jharkhand 73,6542,3035,3507,-472,409,1267,synthetic,ECI_aggregate_estimate
PC137,Assam,Assam 74,6147,2750,3397,-647,562,784,synthetic,ECI_aggregate_estimate
PC138,Punjab,Punjab 75,6136,3899,2237,1662,329,1373,synthetic,ECI_aggregate_estimate
PC139,Chhattisgarh,Chhattisgarh 76,6399,2501,3898,-1397,484,1107,synthetic,ECI_aggregate_estimate
PC140,Haryana,Haryana 77,4496,2320,2176,144,588,653,synthetic,ECI_aggregate_estimate
PC141,Uttarakhand,Uttarakhand 78,4116,1570,2546,-976,310,1002,synthetic,ECI_aggregate_estimate
PC142,Himachal Pradesh,Himachal Pradesh 79,5250,2462,2788,-326,509,706,synthetic,ECI_aggregate_estimate
PC143,Tripura,Tripura 80,5252,2462,2790,-328,601,688,synthetic,ECI_aggregate_estimate
PC144,Meghalaya,Meghalaya 81,3478,1479,1999,-520,519,763,synthetic,ECI_aggregate_estimate
PC145,Manipur,Manipur 82,5730,2378,3352,-974,552,1306,synthetic,ECI_aggregate_estimate
PC146,Nagaland,Nagaland 83,5874,3289,2585,704,785,1434,synthetic,ECI_aggregate_estimate
PC147,Goa,Goa 84,1962,822,1140,-318,191,400,synthetic,ECI_aggregate_estimate
PC148,Arunachal Pradesh,Arunachal Pradesh 85,7343,3379,3964,-585,494,946,synthetic,ECI_aggregate_estimate
PC149,Mizoram,Mizoram 86,2668,1511,1157,354,320,477,synthetic,ECI_aggregate_estimate
PC150,Sikkim,Sikkim 87,6851,3953,2898,1055,836,1115,synthetic,ECI_aggregate_estimate
PC151,Jammu and Kashmir,Jammu and Kashmir 88,3639,1608,2031,-423,415,866,synthetic,ECI_aggregate_estimate
PC152,Ladakh,Ladakh 89,3477,1805,1672,133,400,685,synthetic,ECI_aggregate_estimate
PC153,Uttar Pradesh,Uttar Pradesh 90,5162,2727,2435,292,401,667,synthetic,ECI_aggregate_estimate
PC154,Maharashtra,Maharashtra 91,5747,3528,2219,1309,658,1304,synthetic,ECI_aggregate_estimate
PC155,West Bengal,West Bengal 92,3858,1774,2084,-310,435,835,synthetic,ECI_aggregate_estimate
PC156,Bihar,Bihar 93,6988,2854,4134,-1280,480,998,synthetic,ECI_aggregate_estimate
PC157,Madhya Pradesh,Madhya Pradesh 94,6449,3489,2960,529,350,1515,synthetic,ECI_aggregate_estimate
PC158,Tamil Nadu,Tamil Nadu 95,3206,2072,1134,938,346,689,synthetic,ECI_aggregate_estimate
PC159,Rajasthan,Rajasthan 96,5639,2142,3497,-1355,633,1222,synthetic,ECI_aggregate_estimate
PC160,Karnataka,Karnataka 97,2749,1475,1274,201,385,605,synthetic,ECI_aggregate_estimate
PC161,Gujarat,Gujarat 98,2858,1088,1770,-682,149,627,synthetic,ECI_aggregate_estimate
PC162,Andhra Pradesh,Andhra Pradesh 99,2003,825,1178,-353,138,342,synthetic,ECI_aggregate_estimate
PC163,Odisha,Odisha 100,6458,2950,3508,-558,792,1228,synthetic,ECI_aggregate_estimate
PC164,Telangana,Telangana 101,6704,3077,3627,-550,368,1078,synthetic,ECI_aggregate_estimate
PC165,Kerala,Kerala 102,6604,4226,2378,1848,398,937,synthetic,ECI_aggregate_estimate
PC166,Jharkhand,Jharkhand 103,6005,3802,2203,1599,880,1135,synthetic,ECI_aggregate_estimate
PC167,Assam,Assam 104,3504,1951,1553,398,508,600,synthetic,ECI_aggregate_estimate
PC168,Punjab,Punjab 105,3343,1461,1882,-421,478,470,synthetic,ECI_aggregate_estimate
PC169,Chhattisgarh,Chhattisgarh 106,5994,3554,2440,1114,364,734,synthetic,ECI_aggregate_estimate
PC170,Haryana,Haryana 107,5753,2406,3347,-941,775,1050,synthetic,ECI_aggregate_estimate
PC171,Uttarakhand,Uttarakhand 108,2278,1337,941,396,131,327,synthetic,ECI_aggregate_estimate
PC172,Himachal Pradesh,Himachal Pradesh 109,5391,2656,2735,-79,371,1094,synthetic,ECI_aggregate_estimate
PC173,Tripura,Tripura 110,6301,3096,3205,-109,897,639,synthetic,ECI_aggregate_estimate
PC174,Meghalaya,Meghalaya 111,6238,2599,3639,-1040,510,1226,synthetic,ECI_aggregate_estimate
PC175,Manipur,Manipur 112,6674,2844,3830,-986,590,1439,synthetic,ECI_aggregate_estimate
PC176,Nagaland,Nagaland 113,4808,2429,2379,50,499,974,synthetic,ECI_aggregate_estimate
PC177,Goa,Goa 114,5685,3468,2217,1251,538,917,synthetic,ECI_aggregate_estimate
PC178,Arunachal Pradesh,Arunachal Pradesh 115,3728,2341,1387,954,243,558,synthetic,ECI_aggregate_estimate
PC179,Mizoram,Mizoram 116,5467,2781,2686,95,440,729,synthetic,ECI_aggregate_estimate
PC180,Sikkim,Sikkim 117,2010,1077,933,144,124,427,synthetic,ECI_aggregate_estimate
PC181,Jammu and Kashmir,Jammu and Kashmir 118,4278,1891,2387,-496,369,754,synthetic,ECI_aggregate_estimate
PC182,Ladakh,Ladakh 119,5818,3257,2561,696,505,1165,synthetic,ECI_aggregate_estimate
PC183,Uttar Pradesh,Uttar Pradesh 120,6977,2843,4134,-1291,753,1048,synthetic,ECI_aggregate_estimate
PC184,Maharashtra,Maharashtra 121,2766,1608,1158,450,272,517,synthetic,ECI_aggregate_estimate
PC185,West Bengal,West Bengal 122,3960,1782,2178,-396,379,718,synthetic,ECI_aggregate_estimate
PC186,Bihar,Bihar 123,5157,2743,2414,329,684,520,synthetic,ECI_aggregate_estimate
PC187,Madhya Pradesh,Madhya Pradesh 124,4783,2391,2392,-1,569,621,synthetic,ECI_aggregate_estimate
PC188,Tamil Nadu,Tamil Nadu 125,5215,1856,3359,-1503,473,1198,synthetic,ECI_aggregate_estimate
PC189,Rajasthan,Rajasthan 126,7343,3594,3749,-155,391,1393,synthetic,ECI_aggregate_estimate
PC190,Karnataka,Karnataka 127,4975,2397,2578,-181,350,717,synthetic,ECI_aggregate_estimate
PC191,Gujarat,Gujarat 128,6532,3708,2824,884,402,901,synthetic,ECI_aggregate_estimate
PC192,Andhra Pradesh,Andhra Pradesh 129,2787,1208,1579,-371,379,301,synthetic,ECI_aggregate_estimate
PC193,Odisha,Odisha 130,6874,2881,3993,-1112,629,1455,synthetic,ECI_aggregate_estimate
PC194,Telangana,Telangana 131,1958,1071,887,184,234,384,synthetic,ECI_aggregate_estimate
PC195,Kerala,Kerala 132,5062,3130,1932,1198,321,581,synthetic,ECI_aggregate_estimate
PC196,Jharkhand,Jharkhand 133,4131,2528,1603,925,507,719,synthetic,ECI_aggregate_estimate
PC197,Assam,Assam 134,6175,3559,2616,943,894,1176,synthetic,ECI_aggregate_estimate
PC198,Punjab,Punjab 135,6885,4430,2455,1975,413,1330,synthetic,ECI_aggregate_estimate
PC199,Chhattisgarh,Chhattisgarh 136,4432,1978,2454,-476,337,914,synthetic,ECI_aggregate_estimate
PC200,Haryana,Haryana 137,4440,1592,2848,-1256,354,705,synthetic,ECI_aggregate_estimate
PC201,Uttarakhand,Uttarakhand 138,6417,3482,2935,547,757,1046,synthetic,ECI_aggregate_estimate
PC202,Himachal Pradesh,Himachal Pradesh 139,5457,3448,2009,1439,796,927,synthetic,ECI_aggregate_estimate
PC203,Tripura,Tripura 140,1605,686,919,-233,209,383,synthetic,ECI_aggregate_estimate
PC204,Meghalaya,Meghalaya 141,4152,2584,1568,1016,492,530,synthetic,ECI_aggregate_estimate
PC205,Manipur,Manipur 142,5829,3421,2408,1013,770,1206,synthetic,ECI_aggregate_estimate
PC206,Nagaland,Nagaland 143,6799,2751,4048,-1297,815,1141,synthetic,ECI_aggregate_estimate
PC207,Goa,Goa 144,2719,1480,1239,241,308,503,synthetic,ECI_aggregate_estimate
PC208,Arunachal Pradesh,Arunachal Pradesh 145,5796,2187,3609,-1422,700,1167,synthetic,ECI_aggregate_estimate
PC209,Mizoram,Mizoram 146,3879,1367,2512,-1145,358,824,synthetic,ECI_aggregate_estimate
PC210,Sikkim,Sikkim 147,2705,1210,1495,-285,302,542,synthetic,ECI_aggregate_estimate
PC211,Jammu and Kashmir,Jammu and Kashmir 148,5222,2035,3187,-1152,417,715,synthetic,ECI_aggregate_estimate
PC212,Ladakh,Ladakh 149,2687,1021,1666,-645,154,667,synthetic,ECI_aggregate_estimate
PC213,Uttar Pradesh,Uttar Pradesh 150,2516,1388,1128,260,205,368,synthetic,ECI_aggregate_estimate
PC214,Maharashtra,Maharashtra 151,6864,3406,3458,-52,510,1554,synthetic,ECI_aggregate_estimate
PC215,West Bengal,West Bengal 152,3693,2149,1544,605,197,509,synthetic,ECI_aggregate_estimate
PC216,Bihar,Bihar 153,5074,2451,2623,-172,633,1264,synthetic,ECI_aggregate_estimate
PC217,Madhya Pradesh,Madhya Pradesh 154,3181,1649,1532,117,260,423,synthetic,ECI_aggregate_estimate
PC218,Tamil Nadu,Tamil Nadu 155,4590,1725,2865,-1140,599,987,synthetic,ECI_aggregate_estimate
PC219,Rajasthan,Rajasthan 156,2469,1560,909,651,312,555,synthetic,ECI_aggregate_estimate
PC220,Karnataka,Karnataka 157,4408,1820,2588,-768,266,959,synthetic,ECI_aggregate_estimate
PC221,Gujarat,Gujarat 158,4420,2724,1696,1028,454,458,synthetic,ECI_aggregate_estimate
PC222,Andhra Pradesh,Andhra Pradesh 159,1532,553,979,-426,101,243,synthetic,ECI_aggregate_estimate
PC223,Odisha,Odisha 160,4425,2518,1907,611,655,749,synthetic,ECI_aggregate_estimate
PC224,Telangana,Telangana 161,3351,1363,1988,-625,408,343,synthetic,ECI_aggregate_estimate
PC225,Kerala,Kerala 162,3723,2249,1474,775,276,381,synthetic,ECI_aggregate_estimate
PC226,Jharkhand,Jharkhand 163,2521,1408,1113,295,321,271,synthetic,ECI_aggregate_estimate
PC227,Assam,Assam 164,1974,1062,912,150,204,277,synthetic,ECI_aggregate_estimate
PC228,Punjab,Punjab 165,4907,2426,2481,-55,322,1174,synthetic,ECI_aggregate_estimate
PC229,Chhattisgarh,Chhattisgarh 166,2960,1779,1181,598,402,400,synthetic,ECI_aggregate_estimate
PC230,Haryana,Haryana 167,3980,1770,2210,-440,517,726,synthetic,ECI_aggregate_estimate
PC231,Uttarakhand,Uttarakhand 168,1706,852,854,-2,205,187,synthetic,ECI_aggregate_estimate
PC232,Himachal Pradesh,Himachal Pradesh 169,2655,1425,1230,195,218,345,synthetic,ECI_aggregate_estimate
PC233,Tripura,Tripura 170,2293,865,1428,-563,130,286,synthetic,ECI_aggregate_estimate
PC234,Meghalaya,Meghalaya 171,5369,2780,2589,191,268,854,synthetic,ECI_aggregate_estimate
PC235,Manipur,Manipur 172,5374,2401,2973,-572,642,1165,synthetic,ECI_aggregate_estimate
PC236,Nagaland,Nagaland 173,6948,3774,3174,600,931,1095,synthetic,ECI_aggregate_estimate
PC237,Goa,Goa 174,2503,1045,1458,-413,146,298,synthetic,ECI_aggregate_estimate
PC238,Arunachal Pradesh,Arunachal Pradesh 175,7348,3122,4226,-1104,623,1112,synthetic,ECI_aggregate_estimate
PC239,Mizoram,Mizoram 176,6874,2459,4415,-1956,1027,1233,synthetic,ECI_aggregate_estimate
PC240,Sikkim,Sikkim 177,2551,1002,1549,-547,201,551,synthetic,ECI_aggregate_estimate
PC241,Jammu and Kashmir,Jammu and Kashmir 178,1753,951,802,149,137,268,synthetic,ECI_aggregate_estimate
PC242,Ladakh,Ladakh 179,1590,654,936,-282,120,260,synthetic,ECI_aggregate_estimate
PC243,Uttar Pradesh,Uttar Pradesh 180,4115,1615,2500,-885,301,1002,synthetic,ECI_aggregate_estimate
PC244,Maharashtra,Maharashtra 181,4796,2917,1879,1038,557,748,synthetic,ECI_aggregate_estimate
PC245,West Bengal,West Bengal 182,5944,3365,2579,786,823,939,synthetic,ECI_aggregate_estimate
PC246,Bihar,Bihar 183,4235,2507,1728,779,460,985,synthetic,ECI_aggregate_estimate
PC247,Madhya Pradesh,Madhya Pradesh 184,5211,1906,3305,-1399,324,895,synthetic,ECI_aggregate_estimate
PC248,Tamil Nadu,Tamil Nadu 185,4967,3040,1927,1113,364,964,synthetic,ECI_aggregate_estimate
PC249,Rajasthan,Rajasthan 186,2383,1458,925,533,197,469,synthetic,ECI_aggregate_estimate
PC250,Karnataka,Karnataka 187,5046,1808,3238,-1430,345,911,synthetic,ECI_aggregate_estimate
PC251,Gujarat,Gujarat 188,5658,2056,3602,-1546,299,768,synthetic,ECI_aggregate_estimate
PC252,Andhra Pradesh,Andhra Pradesh 189,4372,2642,1730,912,489,974,synthetic,ECI_aggregate_estimate
PC253,Odisha,Odisha 190,1857,752,1105,-353,269,456,synthetic,ECI_aggregate_estimate
PC254,Telangana,Telangana 191,2839,1573,1266,307,256,667,synthetic,ECI_aggregate_estimate
PC255,Kerala,Kerala 192,7339,4325,3014,1311,416,1553,synthetic,ECI_aggregate_estimate
PC256,Jharkhand,Jharkhand 193,3901,1987,1914,73,264,697,synthetic,ECI_aggregate_estimate
PC257,Assam,Assam 194,1475,712,763,-51,152,200,synthetic,ECI_aggregate_estimate
PC258,Punjab,Punjab 195,6495,2553,3942,-1389,488,1431,synthetic,ECI_aggregate_estimate
PC259,Chhattisgarh,Chhattisgarh 196,3459,1842,1617,225,271,599,synthetic,ECI_aggregate_estimate
PC260,Haryana,Haryana 197,4343,1520,2823,-1303,288,845,synthetic,ECI_aggregate_estimate
PC261,Uttarakhand,Uttarakhand 198,2484,1207,1277,-70,160,592,synthetic,ECI_aggregate_estimate
